year,student_id,gender,math,read,science,escs
2022,3610812,male,372.46,372.182,393.289,0.0825
2022,3610994,male,436.701,308.557,493.118,-0.0471
2022,3611120,male,389.842,472.824,452.56,0.6199
2022,3611305,male,506.585,518.089,500.419,
2022,3611689,female,410.64,437.501,500.5,0.5251
2022,3612046,male,388.33,372.673,304.167,-2.5946
2022,3612148,female,665.992,631.938,656.455,1.0597
2022,3612429,female,427.999,408.181,357.393,
2022,3612892,female,422.865,368.375,413.466,
2022,3613943,male,439.194,400.308,405.463,-0.7481
2022,3614462,female,605.941,529.649,613.488,1.2991
2022,3614769,female,397.137,397.441,337.791,0.1276
2022,3614896,male,390.558,497.522,557.194,0.8839
2022,3615134,male,334.863,239.502,396.102,-1.8732
2022,3615766,female,500.05,554.15,606.875,-0.4937
2022,3616283,male,642.91,632.648,628.063,-0.5456
2022,3616287,female,563.313,596.772,629.841,1.4318
2022,3617209,female,499.539,601.548,499.659,0.9831
2022,3617311,male,546.292,631.045,669.279,0.9265
2022,3617728,female,394.208,365.349,330.541,-0.3435
2022,3617739,male,580.975,609.281,610.411,0.0775
2022,3617788,male,598.387,599.212,574.851,1.374
2022,3618799,female,546.87,604.824,642.035,1.1183
2022,3619508,female,514.864,592.738,545.045,1.3649
2022,3619639,male,405.804,466.023,454.402,0.1775
2022,3619834,male,411.929,305.111,352.459,0.6807
2022,3619997,male,587.154,415.989,537.181,1.4893
2022,3620010,female,454.094,565.804,523.454,-1.1189
2022,3620058,female,510.132,414.546,524.404,-0.1213
2022,3620188,female,581.278,625.947,664.897,1.337
