price,accommodates,bedrooms,room_type,review_scores_rating,neighbourhood,number_of_reviews,latitude,longitude
238.0,3,1.0,Entire home/apt,4.44,Willoughby,18,-33.7818,151.20197
382.33,2,1.0,Entire home/apt,4.92,Pittwater,236,-33.66284,151.3233
191.92,5,3.0,Entire home/apt,4.0,Waverley,1,-33.89582,151.24549
440.29,4,2.0,Entire home/apt,4.92,Pittwater,213,-33.67616,151.31485
225.0,4,1.0,Entire home/apt,4.78,Sydney,333,-33.87259,151.22414
513.6,4,2.0,Entire home/apt,4.96,Sydney,102,-33.86938,151.22766
215.0,4,3.0,Private room,5.0,Sydney,2,-33.9066,151.18517
519.24,6,2.0,Entire home/apt,4.68,Randwick,166,-33.90798,151.23899
531.0,4,1.0,Entire home/apt,4.84,North Sydney,196,-33.84806,151.20573
37.12,2,1.0,Entire home/apt,4.76,Hornsby,192,-33.54976,151.20467
268.5,2,1.0,Entire home/apt,4.92,Sydney,491,-33.87752,151.21271
167.34,11,6.0,Entire home/apt,5.0,Warringah,11,-33.78485,151.27411
171.2,4,2.0,Entire home/apt,4.88,Warringah,131,-33.74065,151.2895
207.0,4,1.0,Entire home/apt,4.44,Sydney,977,-33.86857,151.20383
322.71,5,2.0,Entire home/apt,4.9,Warringah,52,-33.75689,151.28514
770.5,4,2.0,Entire home/apt,4.92,Manly,330,-33.79366,151.27483
653.25,4,2.0,Entire home/apt,4.86,Sydney,64,-33.8681,151.22367
117.0,2,1.0,Entire home/apt,4.81,Camden,541,-34.05662,150.70902
776.0,4,2.0,Entire home/apt,5.0,Waverley,8,-33.88823,151.28342
260.0,4,2.0,Entire home/apt,4.43,Leichhardt,7,-33.87266,151.16439
218.67,2,1.0,Entire home/apt,4.71,Ashfield,70,-33.87896,151.14104
271.25,2,1.0,Entire home/apt,5.0,Randwick,2,-33.91775,151.25683
613.5,4,2.0,Entire home/apt,4.76,Waverley,29,-33.89126,151.26681
630.0,6,4.0,Entire home/apt,4.67,Warringah,3,-33.77954,151.27461
132.36,4,2.0,Entire home/apt,4.83,Pittwater,18,-33.63784,151.33173
176.5,2,1.0,Entire home/apt,4.69,Sydney,243,-33.87537,151.22479
234.74,2,1.0,Entire home/apt,4.89,Marrickville,142,-33.89827,151.17783
1067.0,7,3.0,Entire home/apt,4.76,Manly,58,-33.78927,151.28673
563.77,11,5.0,Entire home/apt,4.44,Mosman,9,-33.8205,151.25014
245.5,2,1.0,Entire home/apt,4.86,Sydney,478,-33.894718,151.187958
45.2,2,2.0,Private room,4.75,Leichhardt,12,-33.88481,151.17426
806.68,6,4.0,Entire home/apt,4.87,Waverley,23,-33.88878,151.27751
343.33,2,1.0,Entire home/apt,4.96,Waverley,45,-33.90529,151.26255
262.67,2,1.0,Entire home/apt,4.87,Sydney,39,-33.90572072817625,151.18646915238054
162.24,4,2.0,Entire home/apt,4.47,Sutherland Shire,51,-34.0645,151.15372
273.0,8,3.0,Entire home/apt,4.88,Warringah,208,-33.75615,151.2986
420.72,4,2.0,Entire home/apt,4.86,Randwick,65,-33.92047,151.25229
194.41,2,2.0,Entire home/apt,4.84,Randwick,44,-33.91271,151.24785
181.25,2,1.0,Entire home/apt,4.83,Sydney,509,-33.894718,151.187958
970.0,6,3.0,Entire home/apt,4.86,Pittwater,173,-33.64901,151.30728
297.0,2,1.0,Entire home/apt,4.78,Warringah,9,-33.76866,151.27844
296.0,2,1.0,Entire home/apt,4.88,Waverley,92,-33.88675,151.27326
939.0,6,3.0,Entire home/apt,4.85,Sydney,262,-33.87278,151.21938
478.0,3,2.0,Entire home/apt,4.69,Waverley,154,-33.89104,151.28358
205.14,6,3.0,Entire home/apt,5.0,North Sydney,3,-33.83505,151.2155
188.67,5,2.0,Entire home/apt,4.41,Marrickville,299,-33.91407,151.15411
225.18,10,5.0,Entire home/apt,4.88,Warringah,8,-33.77955,151.2597
839.71,5,3.0,Entire home/apt,4.96,Manly,26,-33.79642,151.27611
345.4,4,2.0,Entire home/apt,4.92,Randwick,193,-33.91737,151.24656
228.15,4,1.0,Entire home/apt,4.0,Botany Bay,1,-33.92809,151.20626
62.0,2,1.0,Entire home/apt,4.81,Waverley,123,-33.89354,151.24873
194.0,2,1.0,Entire home/apt,4.85,Sydney,973,-33.87562,151.22051
96.97,4,2.0,Entire home/apt,4.59,Sydney,22,-33.88148,151.20238
258.0,2,1.0,Entire home/apt,4.96,Waverley,337,-33.90229,151.26418
1636.0,6,3.0,Entire home/apt,5.0,Warringah,23,-33.78562,151.28903
343.96,8,3.0,Entire home/apt,4.76,Manly,72,-33.78772,151.28623
422.19,4,2.0,Entire home/apt,5.0,Randwick,9,-33.92047119140625,151.25228881835938
167.8,2,1.0,Entire home/apt,4.7,North Sydney,33,-33.84421,151.22413
212.43,2,1.0,Entire home/apt,4.89,Sydney,144,-33.87059491989437,151.23048056526875
