earnwke,uhours,grade92,sex,age,marital,occ2012
660.0,40,39,2,32,5,5120
872.0,40,41,1,30,7,6355
634.61,50,43,2,25,7,2310
385.0,35,40,1,24,7,4110
390.0,40,39,1,37,5,6520
450.0,40,40,2,53,1,5160
400.0,40,40,1,25,7,4020
1500.0,40,44,2,28,7,5310
103.5,6,40,2,61,5,5120
923.07,30,44,2,51,6,2200
340.0,40,32,2,57,1,4130
832.0,40,42,2,47,5,800
540.0,40,40,2,21,6,4720
1923.07,50,43,1,55,5,310
2884.61,44,44,2,37,1,1530
673.07,40,43,2,55,1,350
1250.0,40,44,1,52,1,1760
807.69,40,43,2,51,1,50
1538.46,40,44,1,34,1,2015
480.0,40,43,2,57,1,5940
867.0,45,44,1,43,1,420
2115.38,75,39,1,37,1,9130
903.84,45,40,2,26,1,5700
390.0,30,39,2,25,7,5240
440.0,40,40,1,25,7,800
1460.0,40,43,1,44,1,1740
360.0,40,42,1,30,1,3655
250.0,40,32,2,60,1,7750
385.0,22,42,2,48,1,5700
200.0,32,35,1,23,7,7200
747.69,40,40,2,61,5,4010
461.53,37,39,2,51,1,2540
80.0,10,40,1,22,7,4720
2884.61,50,43,1,51,1,630
480.76,40,39,1,44,1,4220
730.76,40,40,2,58,4,5350
217.5,30,43,2,24,7,4030
582.0,42,39,1,22,7,8930
610.0,40,40,2,47,7,7700
576.92,30,41,2,54,1,3255
880.0,40,42,2,51,7,5700
600.0,40,39,1,20,7,6330
576.0,40,43,2,55,1,120
1538.0,50,44,1,51,1,430
600.0,40,39,2,62,1,5340
470.0,40,33,2,55,5,3600
2.0,40,43,1,43,1,1010
272.0,16,43,2,63,1,2060
160.0,20,39,1,24,7,9620
75.0,10,36,1,16,7,4020
430.0,40,39,1,23,7,6420
660.0,40,40,2,57,1,5700
684.0,72,31,1,25,7,6050
280.0,35,33,2,36,7,8965
1538.46,70,39,1,26,5,6840
644.0,40,39,2,56,5,430
230.0,40,40,1,58,5,4840
370.5,39,43,2,31,7,5240
276.92,20,40,2,62,5,1030
1100.0,40,44,2,40,1,2300
807.69,40,39,2,64,1,4220
1596.0,40,43,1,63,1,2010
211.0,30,40,2,29,1,4600
54.0,6,36,1,16,7,4430
2115.38,40,44,1,59,1,2630
423.0,40,39,2,55,1,2540
700.0,40,43,2,59,7,2310
576.92,40,42,2,25,7,4610
343.35,30,39,2,21,1,8800
615.38,40,43,2,45,5,5330
1961.53,40,44,2,40,1,4710
942.3,40,43,2,36,4,1030
673.07,40,43,1,33,1,5520
2884.61,60,43,1,53,1,10
560.0,40,39,1,28,7,4010
500.0,40,39,1,63,1,8320
1250.0,32,44,2,57,1,350
1923.07,60,43,1,55,1,860
560.0,40,39,1,59,1,565
576.92,40,43,1,22,7,2320
1280.0,40,39,1,32,7,1410
55.55,10,40,2,21,7,1965
360.0,40,40,2,19,7,4720
1153.84,48,40,1,53,1,3740
250.0,25,39,2,32,7,4010
2030.76,40,40,1,56,1,4850
673.07,40,40,2,50,1,5260
451.28,42,40,1,52,1,8300
1462.5,45,39,1,50,1,430
75.0,15,43,2,24,7,2340
520.0,40,43,2,58,1,7330
769.0,60,43,2,62,5,5000
432.0,40,39,2,43,7,7750
390.0,40,39,2,54,1,7810
370.4,40,33,1,45,5,9600
2307.0,50,46,1,50,7,1760
1153.84,50,43,2,28,1,910
126.0,12,36,2,17,7,3655
2884.61,50,43,1,56,1,120
1000.0,40,43,1,52,1,4850
540.0,40,42,2,64,7,5400
442.3,40,39,2,62,1,5820
900.0,50,39,1,55,1,9600
440.0,40,40,2,20,7,5000
59.5,7,37,1,18,7,4720
323.2,40,39,1,26,7,9130
1346.0,40,39,1,29,7,6230
440.0,40,34,1,41,1,4020
1250.0,40,44,2,39,1,2200
750.0,40,40,2,31,1,5550
144.0,16,34,2,59,4,4610
546.0,40,41,2,54,1,3255
666.66,12,34,1,56,1,8550
1200.0,40,39,1,54,1,9130
1269.23,40,46,1,56,1,1007
980.0,60,40,2,59,5,910
