id,name,price,accommodates,bedrooms,room_type,review_scores_rating,neighbourhood,number_of_reviews
1570159612890047531,Rhodes  2B2B Walker St | City & Water Views,$151.71,4,2.0,Entire home/apt,,Canada Bay,0
775054031914051575,New stylish  Townhouse in Burwood,$733.43,10,4.0,Entire home/apt,4.87,Burwood,101
978606917463075211,Parkview Retreat,$211.00,4,2.0,Entire home/apt,4.75,Parramatta,16
1698284053417345498,Kensington Retreat,$348.50,4,1.0,Entire home/apt,,Randwick,0
1122597896320071273,Arncliffe Airport Retreat - quiet elegant and calm,$171.00,2,,Private room,4.97,Rockdale,79
1696361831367863139,Renovated split-level apartment | Alexandria,$280.00,4,2.0,Entire home/apt,,Sydney,0
1519317217395389847,Sydney QVB｜Twilight 3 Bedroom Penthouse with Green,$809.00,7,3.0,Entire home/apt,4.67,Sydney,18
1273866909183372697,2 mins to Train Station(Parties not permitted),$371.00,6,2.0,Entire home/apt,4.79,Botany Bay,48
1351056771345185050,Self‑Contained Veriu Suite for Extended Stays,$232.21,2,1.0,Private room,4.79,Ryde,19
1206174332906293014,How Big Is Your Group?,$303.77,16,14.0,Entire home/apt,4.33,Fairfield,6
1575020107323331195,Luxury Tamarama Sky House,,8,4.0,Entire home/apt,5.0,Waverley,1
716058174122951465,Stylish 1 Bedroom Apartment in Barangaroo,$338.50,2,1.0,Entire home/apt,4.61,Sydney,88
1236828845990619960,"Quiet Tranquil Holiday Home 7 Beds, 4 Bedrooms","$1,862.43",7,4.0,Entire home/apt,,Waverley,0
1454879673988402715,"Tewkesbury Courtyard, Darlinghurst I90",,7,4.0,Entire home/apt,,Sydney,0
829992592228153623,Elegant attic room in Darlington with leafy view,$146.25,1,,Private room,4.99,Sydney,72
789364819688753946,超大豪华单间 close to Sydney Olympic Park,$69.00,1,,Private room,4.43,Canada Bay,104
1608365305674628994,"Modern Home Oasis, Steps from King St & Enmore Rd",$637.33,6,3.0,Entire home/apt,,Marrickville,0
703823452406001407,"Bondi Beach - 2 BR, 1 Bath Apartment",$756.50,4,2.0,Entire home/apt,4.8,Waverley,25
1378814436114637050,近MQ 大学 宁静阳光大房 独立阳台 独立卫生间 步行到火车站,$30.88,2,,Private room,5.0,Parramatta,2
16133658,"Split level home in leafy area, near North Sydney",$329.80,3,2.0,Entire home/apt,4.88,Lane Cove,17
16417975,"Clean, modern and cosy",$227.30,2,1.0,Entire home/apt,,Woollahra,0
1092091965254164105,Denham Court 4Br with Central AC & WiFi near Coles,$378.00,10,4.0,Entire home/apt,4.81,Campbelltown,47
889275872046467815,Location & Style,$120.00,2,,Private room,5.0,Randwick,8
1177343000609448831,2 Bed 2 Bath in Darling Harbour,,4,2.0,Entire home/apt,4.71,Sydney,7
