entity,code,year,emissions_total_per_capita,gdp_per_capita,population
Bahamas,BHS,2019,6.3506823,,394631.0
American Samoa,ASM,2019,,,50189.0
Iran,IRN,2019,8.447259,17400.414,87051599.0
Tonga,TON,2019,1.5260453,,105643.0
Haiti,HTI,2019,0.28168207,1719.4462,11105119.0
Nepal,NPL,2019,0.44873935,2953.5603,28414023.0
Liberia,LBR,2019,0.18471907,807.3494,5043670.0
Brazil,BRA,2019,2.281887,14257.871,207455405.0
Serbia,SRB,2019,6.3562794,15293.246,6966101.0
Afghanistan,AFG,2019,0.2859553,2031.7373,37856071.0
Cuba,CUB,2019,2.0079126,8257.785,11202800.0
Wallis and Futuna,WLF,2019,2.197772,,11670.0
Saudi Arabia,SAU,2019,21.579525,50123.336,30472767.0
Tajikistan,TJK,2019,0.91206217,4695.543,9529924.0
Zimbabwe,ZWE,2019,0.67204034,1753.0244,15271330.0
Eritrea,ERI,2019,0.19906436,,3240143.0
Ecuador,ECU,2019,2.3103745,10586.937,17339967.0
Tokelau,TKL,2019,,,2002.0
Cameroon,CMR,2019,0.37661535,2832.0767,25506047.0
Estonia,EST,2019,9.261651,28505.604,1326772.0
Finland,FIN,2019,7.686383,39874.8,5521713.0
Trinidad and Tobago,TTO,2019,27.466105,27582.568,1484843.0
United Kingdom,GBR,2019,5.4350815,39113.01,67110910.0
United Arab Emirates,ARE,2019,23.435728,74396.14,9377805.0
Jersey,JEY,2019,,,102817.0
Turkmenistan,TKM,2019,9.285526,17264.172,6803896.0
Mauritania,MRT,2019,1.0341662,3659.103,4467661.0
Albania,ALB,2019,1.6731355,11715.307,2884969.0
Aruba,ABW,2019,7.735446,,107048.0
Sao Tome and Principe,STP,2019,0.66974753,3781.2275,213358.0
Saint Lucia,LCA,2019,2.825776,10977.819,177639.0
Thailand,THA,2019,3.9411173,16905.293,71522216.0
Gibraltar,GIB,2019,,,35469.0
Kuwait,KWT,2019,24.436037,73748.44,4442153.0
Papua New Guinea,PNG,2019,0.83106965,,9608959.0
Ghana,GHA,2019,0.52523965,4143.3774,31258887.0
Hong Kong,HKG,2019,5.597313,49631.062,7485770.0
Falkland Islands,FLK,2019,,,3501.0
Iceland,ISL,2019,9.860175,43136.605,360652.0
Reunion,REU,2019,,,857291.0
Libya,LBY,2019,10.969283,16971.502,6950993.0
Kiribati,KIR,2019,0.5323819,,123881.0
Bahrain,BHR,2019,25.295322,39499.707,1485632.0
Ukraine,UKR,2019,4.9367437,10139.761,44957402.0
Peru,PER,2019,1.7986559,12680.354,32449256.0
Vietnam,VNM,2019,3.4901097,7266.0483,97173733.0
Tunisia,TUN,2019,2.556072,11451.897,11875033.0
Luxembourg,LUX,2019,15.741836,54751.6,620116.0
Central African Republic,CAF,2019,0.045942098,623.5598,4944659.0
French Guiana,GUF,2019,,,285524.0
United States Virgin Islands,VIR,2019,,,89339.0
Namibia,NAM,2019,1.5993302,8567.793,2650454.0
North Macedonia,MKD,2019,4.0298004,13751.228,1897595.0
Bermuda,BMU,2019,9.262487,,64083.0
Kyrgyzstan,KGZ,2019,1.3925191,5412.708,6493984.0
Saint Barthelemy,BLM,2019,,,10286.0
Norway,NOR,2019,8.002147,85115.32,5347690.0
Brunei,BRN,2019,24.247364,,442636.0
Malaysia,MYS,2019,8.368345,25986.412,33440538.0
Myanmar,MMR,2019,0.63867646,6140.885,52640679.0
Gambia,GMB,2019,0.28932655,1952.326,2456795.0
Georgia,GEO,2019,2.8674045,12631.664,3796671.0
Fiji,FJI,2019,1.4818621,,914849.0
Denmark,DNK,2019,5.3214316,48238.656,5814566.0
Russia,RUS,2019,11.635815,25244.12,146533005.0
Mozambique,MOZ,2019,0.23761947,1118.6304,29884331.0
Indonesia,IDN,2019,2.3993292,12250.278,272489333.0
India,IND,2019,1.8810879,7293.9897,1389030252.0
Algeria,DZA,2019,4.1554136,14000.279,43294503.0
South Africa,ZAF,2019,7.7887363,11739.936,59587828.0
Benin,BEN,2019,0.41347355,2276.1038,12726713.0
Cook Islands,COK,2019,4.77735,,16106.0
Latvia,LVA,2019,3.9956133,25858.602,1914220.0
Angola,AGO,2019,0.68097985,6886.954,32375581.0
British Virgin Islands,VGB,2019,5.0373955,,36368.0
Equatorial Guinea,GNQ,2019,3.3138647,25006.34,1670140.0
New Caledonia,NCL,2019,20.005596,,283564.0
Belgium,BEL,2019,8.675304,41155.527,11490570.0
Iraq,IRQ,2019,4.6182113,14203.617,41192120.0
Malta,MLT,2019,3.2715886,33220.285,503968.0
Eswatini,SWZ,2019,0.9502872,8375.426,1179837.0
Colombia,COL,2019,1.893445,13603.993,49907932.0
Austria,AUT,2019,7.650861,43488.668,8880830.0
Saint Kitts and Nevis,KNA,2019,5.3880053,,46922.0
Qatar,QAT,2019,36.105545,150732.22,2797880.0
Spain,ESP,2019,5.282928,34957.465,47435072.0
Gabon,GAB,2019,2.3507752,16449.715,2267660.0
Faroe Islands,FRO,2019,14.283498,,51817.0
Barbados,BRB,2019,5.0809,12040.277,281162.0
New Zealand,NZL,2019,7.3620214,36912.074,4989366.0
Madagascar,MDG,2019,0.15226129,1434.2703,28219511.0
Paraguay,PRY,2019,1.2483938,8776.076,6515016.0
Chile,CHL,2019,4.791046,21924.408,19197702.0
Svalbard and Jan Mayen,SJM,2019,,,2400.0
Australia,AUS,2019,16.315792,49814.67,25482660.0
Rwanda,RWA,2019,0.10744573,2042.8529,12776068.0
Belize,BLZ,2019,1.8330257,,385784.0
Seychelles,SYC,2019,5.046789,32745.871,117613.0
Vatican,VAT,2019,,,527.0
Senegal,SEN,2019,0.7774175,2559.8176,16352874.0
San Marino,SMR,2019,,,34627.0
Turkey,TUR,2019,4.7177076,23497.504,85357615.0
Marshall Islands,MHL,2019,3.3321207,,43984.0
Singapore,SGP,2019,8.642737,74649.734,5669500.0
Sint Maarten (Dutch part),SXM,2019,17.061699,,40373.0
Bhutan,BTN,2019,2.1169295,,764777.0
Lithuania,LTU,2019,4.904179,28986.053,2795011.0
Mongolia,MNG,2019,14.617127,13871.33,3232069.0
Ireland,IRL,2019,7.5653806,59733.91,4933445.0
Pakistan,PAK,2019,0.8995737,5219.534,230800861.0
Argentina,ARG,2019,3.969191,17912.637,44973412.0
Maldives,MDV,2019,4.087055,,487690.0
Czechia,CZE,2019,9.569924,32226.553,10554819.0
Palau,PLW,2019,12.371412,,17770.0
Poland,POL,2019,8.311783,29142.023,38225836.0
Vanuatu,VUT,2019,0.5647678,,291943.0
Togo,TGO,2019,0.27396706,1501.8667,8463021.0
Sudan,SDN,2019,0.47511515,,45548129.0
Oman,OMN,2019,15.622156,48596.527,4591205.0
United States,USA,2019,15.578155,56469.26,337790020.0
Micronesia (country),FSM,2019,1.3293424,,110250.0
Egypt,EGY,2019,2.4057102,12300.201,107553107.0
Mexico,MEX,2019,3.7231612,16802.014,125762928.0
France,FRA,2019,4.7926087,39084.656,65729405.0
